PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,HasCabin,Deck
33,1,1,Mrs. Eleanor Fortune,female,14.31959188223738,0,0,PC 15902,8.36067833424498,S,0,Unknown
34,1,3,Mr. Patrick Murphy,male,53.83973448472453,0,0,PC 76758,51.02339163202277,S,0,Unknown
35,0,3,Mr. Johan Larsson,male,37.11832703639762,1,0,PC 37050,4.620121926581987,S,1,E
36,0,3,Mr. Johan Larsson,male,25.04188151093316,1,0,PC 84586,7.553010867632039,C,0,Unknown
37,0,2,Rev. Robert Bateman,male,32.49971616188419,0,1,PC 79110,21.72327148193553,S,1,B
38,0,1,Dr. Arthur Jackson,male,36.8282887411002,0,0,PC 86693,2.1006209495507635,S,0,Unknown
39,0,3,Mr. Johan Larsson,male,16.12321812104313,0,0,PC 29575,22.77071496069274,S,0,Unknown
40,0,2,Rev. Robert Bateman,male,26.028494329084467,0,0,PC 68940,15.920734381741292,S,1,B
41,1,1,Lady Duff-Gordon,female,27.411824508686,1,0,PC 50244,27.38660387041852,S,0,Unknown
42,1,3,Mrs. Bridget OBrien,female,11.767833139435028,0,0,PC 93481,0.8711486288273431,C,0,Unknown
43,1,1,Mr. William Sloper,male,40.385098066420106,0,1,PC 24962,14.895898358366688,S,1,A
44,0,3,Mr. Olaf Dahl,male,20.733227298589505,1,1,PC 87332,30.881409011550087,S,0,Unknown
45,0,2,Mr. Thomas Byles,male,25.598539624234085,1,2,PC 34450,23.979696456488888,S,0,Unknown
46,1,3,Mr. Olaf Dahl,male,26.937491761066457,0,1,PC 63494,3.939449292100377,S,0,Unknown
47,1,2,Miss. Nora Keane,female,34.2153529389864,0,0,PC 55037,1.4045257510272424,S,0,Unknown
48,0,3,Mr. Ali Hassan,male,33.09060720937492,0,0,PC 93040,16.072426707328265,S,0,Unknown
49,1,3,Mr. Johan Larsson,male,29.843532548220768,0,1,PC 40041,11.63931680443882,S,0,Unknown
50,0,1,Dr. Arthur Jackson,male,29.343990111089028,1,1,PC 20715,43.54448090059028,S,0,Unknown
51,0,3,Mr. Olaf Dahl,male,29.843532548220768,1,1,PC 31803,6.191659833342674,C,0,Unknown
52,1,3,Mrs. Anna Sage,female,30.08539082527925,1,0,PC 78906,3.348080194061128,S,0,Unknown
53,1,3,Mrs. Bridget OBrien,female,35.73122804296243,0,0,PC 71726,15.17254871054662,Q,0,Unknown
54,0,3,Mr. Mustafa Ozkan,male,21.122757626247544,1,1,PC 11908,48.34835704148011,C,0,Unknown
55,0,3,Mr. Patrick Murphy,male,29.843532548220768,0,0,PC 47075,2.6473774966122283,C,0,Unknown
56,0,3,Mr. Patrick Murphy,male,36.08901140549106,0,2,PC 74587,12.454781498887288,S,1,E
57,1,1,Miss. Charlotte Cardeza,female,26.91405183026176,0,0,PC 63648,46.365391568464936,Q,0,Unknown
58,1,1,Mrs. Margaret Brown,female,14.778675018925078,0,0,PC 31134,49.71410183617312,C,0,Unknown
59,0,1,Col. John Weir,male,50.204202829603176,1,0,PC 66143,24.63107847600402,C,0,Unknown
60,0,2,Rev. Robert Bateman,male,46.162989023635504,0,1,PC 79123,36.095424629790514,S,0,Unknown
61,1,2,Mrs. Ada Clarke,female,29.930379863891222,0,0,PC 55153,13.74655577933684,C,0,Unknown
62,0,2,Mr. George Harris,male,25.598539624234085,0,0,PC 12413,16.22797949075775,Q,0,Unknown
63,1,3,Mrs. Leah Rosen,female,36.80591904596119,0,6,PC 32555,4.979942906301428,S,0,Unknown
64,0,2,Mr. Charles Aldworth,male,25.395959044514484,0,0,PC 20952,4.1536375788999305,S,0,Unknown
65,0,2,Rev. Robert Bateman,male,25.598539624234085,0,1,PC 78993,1.8594120439979,Q,0,Unknown
66,0,3,Mr. Johan Larsson,male,29.843532548220768,1,0,PC 84000,17.154867803125377,S,0,Unknown
67,1,1,Col. John Weir,male,29.343990111089028,0,1,PC 76686,18.349585581695,S,0,Unknown
68,0,3,Mr. Patrick Murphy,male,18.14112456220157,0,0,PC 42264,16.048537420390208,S,0,Unknown
69,1,1,Mrs. Margaret Brown,female,18.89630763079245,0,2,PC 57553,41.5727455064648,Q,0,Unknown
70,0,3,Mr. Patrick Murphy,male,32.627701148317584,1,2,PC 64359,7.363321953643751,S,0,Unknown
71,1,3,Mr. Ali Hassan,male,13.94177246785812,0,0,PC 19808,8.676587862641899,S,0,Unknown
72,1,1,Dr. Arthur Jackson,male,11.936325390187136,0,0,PC 62330,38.50600066722861,S,0,Unknown
73,1,1,Dr. Arthur Jackson,male,29.323202396082262,0,0,PC 48345,8.90816779557747,C,1,A
74,0,3,Mr. Ali Hassan,male,36.32961423858031,0,0,PC 79617,5.076263945743805,S,0,Unknown
75,0,3,Mr. Olaf Dahl,male,33.60590679424291,0,1,PC 49222,14.930997583344023,C,1,G
76,0,3,Miss. Mary Kelly,female,27.826502137492653,1,0,PC 67755,15.014775158474752,Q,1,A
77,0,3,Mr. Patrick Murphy,male,19.76789664468341,0,0,PC 18933,4.619455348634441,S,1,D
78,1,1,Dr. Arthur Jackson,male,20.94534639946029,0,0,PC 78207,51.77560135997379,S,0,Unknown
79,0,2,Mr. Charles Aldworth,male,12.510527630748,1,1,PC 53739,4.450209169519718,S,0,Unknown
80,1,1,Mrs. Margaret Brown,female,28.42435363304804,0,2,PC 57738,19.84024843496909,S,1,G
81,0,3,Miss. Dagmar Bryhl,female,30.86502753065428,0,0,PC 94544,0.3194405030069349,S,1,D
82,1,3,Miss. Mary Kelly,female,25.61597423897435,0,0,PC 31883,31.106790268841632,C,0,Unknown
83,1,2,Mr. Charles Aldworth,male,12.404948857836477,0,0,PC 53401,4.897977004400392,C,1,C
84,1,1,Capt. Edward Smith,male,62.377878311569646,0,0,PC 25380,21.686038484146696,S,0,Unknown
85,0,2,Mr. Henry Reg,male,18.807308888602787,0,0,PC 28212,6.788578545301608,S,0,Unknown
86,0,2,Mr. Charles Aldworth,male,42.3410602342249,1,0,PC 38174,2.8211464579929024,S,0,Unknown
87,0,3,Mr. Mustafa Ozkan,male,29.843532548220768,3,0,PC 16861,13.968599380270147,S,0,Unknown
88,0,3,Mr. Patrick Murphy,male,23.06714590761287,0,0,PC 16094,1.0701905342242564,S,1,D
89,0,3,Mr. Olaf Dahl,male,33.64325693229949,0,0,PC 61319,1.974226805514512,C,0,Unknown
90,0,3,Mr. Johan Larsson,male,29.843532548220768,0,0,PC 56728,14.178848523775718,Q,1,B
91,1,1,Miss. Charlotte Cardeza,female,23.516294773425464,1,0,PC 34363,34.86011463742803,S,0,Unknown
92,0,3,Mr. Ali Hassan,male,34.15640132798435,0,0,PC 97846,16.86227259281224,C,1,B
93,0,3,Mr. Ali Hassan,male,28.14465957331526,0,0,PC 49300,11.16748321819399,S,0,Unknown
94,1,3,Mrs. Leah Rosen,female,38.2419460427852,1,0,PC 64808,4.051675030689079,C,0,Unknown
95,0,3,Mr. Mustafa Ozkan,male,22.243837897945543,1,0,PC 15943,14.415009846069502,S,0,Unknown
96,1,3,Mrs. Bridget OBrien,female,27.826502137492653,1,0,PC 90105,1.6934276459665654,S,0,Unknown
97,0,3,Mr. Johan Larsson,male,17.382835618158822,0,2,PC 52616,10.53195123231349,Q,0,Unknown
98,0,2,Mr. Thomas Byles,male,33.84327718129197,1,0,PC 84329,11.897092114091274,S,1,D
99,1,1,Mrs. Margaret Brown,female,21.21175390314537,1,0,PC 35287,26.191374624480947,C,0,Unknown
100,1,1,Mrs. Eleanor Fortune,female,27.411824508686,0,0,PC 43971,77.81370982237353,S,1,A
101,1,1,Mrs. Eleanor Fortune,female,27.411824508686,0,0,PC 66152,172.2447057403648,S,0,Unknown
102,0,3,Mr. Johan Larsson,male,19.548459187708733,0,0,PC 52351,93.38915667126028,S,0,Unknown
103,0,2,Mr. Henry Reg,male,16.721534009333507,3,0,PC 70040,19.372890717591133,S,0,Unknown
104,0,3,Mr. Johan Larsson,male,46.92855217677428,0,0,PC 98559,7.106185434039751,S,1,A
105,0,3,Mr. Johan Larsson,male,40.039070140965855,0,0,PC 70616,3.4956853065288565,S,1,G
106,1,2,Mrs. Ethel Beane,female,16.36468890427258,0,0,PC 33897,6.151803375528492,S,0,Unknown
107,0,2,Mr. Thomas Byles,male,15.16324263520455,1,0,PC 33010,13.51459317529117,S,1,G
108,1,3,Miss. Dagmar Bryhl,female,22.447959222884144,0,0,PC 50154,6.2708141379236135,S,0,Unknown
109,0,1,Capt. Edward Smith,male,15.710696069167476,0,0,PC 30114,205.90530168042076,S,0,Unknown
110,0,1,Col. John Weir,male,29.343990111089028,0,0,PC 29050,38.58401452639483,Q,0,Unknown
111,0,2,Mr. George Harris,male,11.098891675732258,1,1,PC 31125,9.677623979655866,S,0,Unknown
112,1,1,Lady Duff-Gordon,female,27.411824508686,0,0,PC 60396,40.63524689145286,S,0,Unknown
113,1,3,Miss. Mary Kelly,female,33.26486172350679,0,0,PC 54846,24.819985732132576,S,0,Unknown
114,1,3,Mrs. Bridget OBrien,female,36.03358402132102,1,2,PC 30396,14.413455038649056,S,1,D
115,1,3,Mrs. Bridget OBrien,female,29.38726504875728,0,0,PC 98116,13.047269545531574,S,0,Unknown
116,0,3,Mrs. Bridget OBrien,female,27.826502137492653,1,0,PC 48973,5.57152120363796,S,0,Unknown
117,0,3,Miss. Mary Kelly,female,39.58638745532648,0,0,PC 33574,23.334144544665925,S,0,Unknown
118,1,1,Capt. Edward Smith,male,29.343990111089028,0,1,PC 23869,3.2860072662929327,S,0,Unknown
119,0,3,Mr. Johan Larsson,male,17.345150777212574,0,2,PC 76194,28.035293686649407,C,1,G
120,0,3,Mr. Olaf Dahl,male,29.843532548220768,0,0,PC 72167,9.8499949686521,S,0,Unknown
121,1,3,Miss. Mary Kelly,female,27.826502137492653,1,0,PC 66147,6.958416218889567,S,0,Unknown
122,0,3,Mrs. Leah Rosen,female,44.592593916232445,0,0,PC 22122,9.4187189042042,S,0,Unknown
123,0,2,Rev. Robert Bateman,male,25.598539624234085,1,0,PC 53827,22.787831138200595,C,0,Unknown
124,1,1,Mrs. Eleanor Fortune,female,21.611842690982822,0,0,PC 23335,1.0791987934242824,S,0,Unknown
125,1,1,Miss. Charlotte Cardeza,female,35.59896670255908,0,0,PC 73576,172.38732069721925,S,0,Unknown
126,0,2,Mr. Henry Reg,male,25.598539624234085,0,0,PC 31677,12.252875801427392,S,0,Unknown
127,0,3,Mr. Olaf Dahl,male,41.9949837178977,4,1,PC 38223,5.754278143363597,S,0,Unknown
128,0,3,Mrs. Leah Rosen,female,7.035322111074461,0,0,PC 39814,2.0383535112706386,S,1,F
129,0,1,Col. John Weir,male,27.04066654929929,0,0,PC 93611,48.624598010744414,C,1,G
130,1,3,Mrs. Leah Rosen,female,27.826502137492653,0,0,PC 53185,9.395729003360476,S,1,G
131,1,2,Rev. Robert Bateman,male,51.20453081242789,0,1,PC 86794,10.70028525667309,S,0,Unknown
132,1,1,Mrs. Margaret Brown,female,27.411824508686,0,0,PC 85675,95.3614887416815,S,0,Unknown
133,1,1,Mrs. Margaret Brown,female,34.31817322024105,1,0,PC 52325,45.88702528780677,S,1,G
134,1,2,Mrs. Esther Hart,female,30.57965454895384,0,0,PC 50503,67.37764076073312,S,1,F
135,1,3,Mr. Olaf Dahl,male,48.82387481768348,1,0,PC 29514,12.5284603325511,S,1,B
136,1,2,Mrs. Ethel Beane,female,58.81833184134433,0,2,PC 66196,34.10417139493449,S,0,Unknown
137,0,3,Mrs. Leah Rosen,female,28.520831253453352,0,0,PC 30917,1.5866021187626511,S,0,Unknown
138,0,3,Mr. Mustafa Ozkan,male,31.27810276958525,1,0,PC 64699,6.936601424359072,S,1,B
139,1,2,Miss. Kate Buss,female,29.930379863891222,0,0,PC 60119,8.502537501449634,S,0,Unknown
140,0,3,Mr. Olaf Dahl,male,15.872783381239646,3,0,PC 93324,11.545908526080872,S,0,Unknown
141,0,3,Mr. Ali Hassan,male,16.823776291942668,0,1,PC 35061,27.04514767742126,S,0,Unknown
142,0,2,Mr. Thomas Byles,male,20.398169655061604,2,0,PC 19947,1.6886429326641983,S,1,G
143,0,3,Mr. Ali Hassan,male,39.24710035104602,0,0,PC 91080,1.0322009158617589,S,1,C
144,0,2,Mr. George Harris,male,28.913786632193425,0,0,PC 95550,39.31427391025172,S,0,Unknown
145,1,2,Miss. Nora Keane,female,29.930379863891222,0,0,PC 90331,4.954266809080428,S,1,A
146,0,1,Capt. Edward Smith,male,47.52372300802013,0,2,PC 42632,92.81090502466633,Q,1,G
147,1,3,Mrs. Bridget OBrien,female,27.826502137492653,0,0,PC 29352,10.724431991349078,S,1,D
148,0,3,Mr. Mustafa Ozkan,male,20.024633781141,0,1,PC 33653,24.51100582946208,S,0,Unknown
149,0,1,Col. John Weir,male,26.081196805729554,0,1,PC 77115,11.225172758427483,C,0,Unknown
150,0,2,Mr. Charles Aldworth,male,58.69342948348561,0,0,PC 53755,2.8775615187904946,C,0,Unknown
151,1,3,Miss. Dagmar Bryhl,female,20.313908857914,1,0,PC 81988,11.14872532308222,S,1,A
152,0,1,Major Fortescue,male,35.614675449808146,0,0,PC 47921,228.22851785115293,C,0,Unknown
153,1,1,Mr. William Sloper,male,29.343990111089028,0,0,PC 69003,45.03572639267163,S,1,E
154,1,3,Miss. Dagmar Bryhl,female,15.273918769153909,0,0,PC 90876,5.424157713959533,S,1,C
155,0,3,Mr. Olaf Dahl,male,29.843532548220768,0,0,PC 56668,12.784229708841574,S,1,E
156,0,2,Mr. Charles Aldworth,male,24.356453772890248,0,0,PC 65175,55.17976725244085,S,0,Unknown
157,0,3,Mr. Johan Larsson,male,21.698359142981943,0,0,PC 57738,24.84580533035662,S,0,Unknown
158,0,3,Mrs. Bridget OBrien,female,27.826502137492653,2,0,PC 63452,73.98058141648772,S,0,Unknown
159,0,1,Col. John Weir,male,29.016226353512693,1,0,PC 78323,1.9174807199467536,Q,0,Unknown
160,0,3,Miss. Dagmar Bryhl,female,52.5571399975578,0,0,PC 56149,1.6405802391048816,C,0,Unknown
161,0,2,Mr. Henry Reg,male,20.77862086500661,0,0,PC 25839,19.46306655086785,C,0,Unknown
162,1,3,Mrs. Anna Sage,female,15.95178556580445,0,1,PC 12155,23.53668230443421,C,0,Unknown
163,1,3,Miss. Mary Kelly,female,27.826502137492653,0,0,PC 17019,4.600659090943733,Q,0,Unknown
164,1,3,Mrs. Anna Sage,female,27.826502137492653,1,1,PC 64512,3.745570985874435,S,1,A
165,0,1,Capt. Edward Smith,male,26.372963220532704,0,0,PC 71690,129.89335815104087,S,0,Unknown
166,0,3,Miss. Dagmar Bryhl,female,29.150552443708392,0,0,PC 96150,0.7950617019436027,S,0,Unknown
167,0,2,Mr. Henry Reg,male,25.598539624234085,0,0,PC 36190,9.543859509196505,C,0,Unknown
168,0,1,Capt. Edward Smith,male,26.933062502117384,0,0,PC 20928,59.20602636998051,S,0,Unknown
169,0,1,Capt. Edward Smith,male,29.343990111089028,1,0,PC 58425,69.02895786553304,C,0,Unknown
170,0,3,Miss. Mary Kelly,female,52.26154883366375,0,0,PC 84134,17.86777810373876,S,0,Unknown
171,1,3,Mrs. Leah Rosen,female,47.486407336703074,1,0,PC 96117,6.004241491616432,S,0,Unknown
172,1,1,Miss. Bishop,female,46.428104440268896,5,0,PC 58974,79.67528281236955,C,0,Unknown
173,1,3,Mr. Ali Hassan,male,43.30096357307899,0,0,PC 57796,12.061230679320287,S,0,Unknown
174,1,1,Major Fortescue,male,37.38617920368504,1,2,PC 58743,66.630826482679,S,0,Unknown
175,1,3,Miss. Mary Kelly,female,27.826502137492653,0,0,PC 89455,14.015026436718829,S,0,Unknown
176,0,1,Col. John Weir,male,29.343990111089028,4,0,PC 80035,25.230324526130072,S,0,Unknown
177,0,3,Mr. Patrick Murphy,male,31.743063852792247,4,0,PC 47677,1.211729537609061,S,0,Unknown
178,0,2,Mr. Charles Aldworth,male,18.222417172988685,1,0,PC 66321,2.6290256160891383,S,0,Unknown
179,0,3,Mr. Ali Hassan,male,56.22472315610146,0,1,PC 68973,3.484643411286563,S,0,Unknown
180,0,1,Major Fortescue,male,23.97047541601936,1,0,PC 62414,58.25762291858408,S,1,D
181,0,2,Rev. Robert Bateman,male,11.787946461487897,0,2,PC 35602,37.99179655151832,C,0,Unknown
182,0,1,Capt. Edward Smith,male,29.343990111089028,1,0,PC 39692,101.49663420803586,S,0,Unknown
183,0,3,Mr. Ali Hassan,male,33.810893543000965,1,0,PC 58750,21.31842753371326,S,1,E
184,1,3,Miss. Dagmar Bryhl,female,18.22411731238424,0,2,PC 31760,5.922304548600343,C,0,Unknown
185,0,2,Mr. Henry Reg,male,26.212798892632588,0,2,PC 78456,10.735270384979438,S,0,Unknown
186,0,3,Mr. Mustafa Ozkan,male,11.92014703428794,0,0,PC 34085,6.8548017134986186,C,0,Unknown
187,0,3,Miss. Mary Kelly,female,27.826502137492653,0,1,PC 73964,2.9185970741130527,S,1,F
188,0,3,Mr. Patrick Murphy,male,28.205389352165167,0,0,PC 32925,0.8654366616434489,S,0,Unknown
189,0,3,Mrs. Anna Sage,female,26.890502903148864,1,1,PC 15615,12.245539389967917,S,1,E
190,1,1,Miss. Bishop,female,39.82518102078602,2,0,PC 47083,228.22851785115293,Q,0,Unknown
191,0,1,Major Fortescue,male,29.343990111089028,2,0,PC 78319,15.331446637536429,C,1,B
192,0,3,Mr. Patrick Murphy,male,29.843532548220768,0,0,PC 19605,0.654992970419437,S,1,C
193,0,3,Mrs. Bridget OBrien,female,36.0253269550642,1,0,PC 54608,20.714417483387056,S,0,Unknown
194,1,3,Mrs. Anna Sage,female,19.886070372402557,1,0,PC 29192,3.988563740425292,C,0,Unknown
195,0,2,Mr. Henry Reg,male,18.16454845117973,0,0,PC 13331,36.63618006598123,S,0,Unknown
196,0,2,Mr. Charles Aldworth,male,56.42353572766913,0,0,PC 61330,25.19566501584859,C,0,Unknown
197,1,3,Mr. Olaf Dahl,male,24.279308898106382,0,0,PC 59949,39.90459038368471,S,0,Unknown
198,1,3,Mrs. Bridget OBrien,female,33.626394517314424,1,0,PC 78382,7.203681235925011,S,0,Unknown
199,0,3,Mr. Patrick Murphy,male,34.28458021242548,0,0,PC 47586,14.859296124671598,S,0,Unknown
200,1,3,Miss. Mary Kelly,female,13.488311694264636,1,0,PC 62243,8.565474697254809,S,0,Unknown
201,0,3,Miss. Mary Kelly,female,30.766528527053964,0,0,PC 68618,13.643071215264516,S,0,Unknown
202,0,1,Mr. William Sloper,male,30.048449898135488,1,1,PC 88311,50.15707239762973,Q,0,Unknown
203,0,1,Col. John Weir,male,29.343990111089028,0,0,PC 17549,17.558845139659216,S,1,G
204,0,3,Mr. Olaf Dahl,male,29.843532548220768,0,0,PC 62494,9.71423269826886,S,0,Unknown
205,0,3,Mr. Johan Larsson,male,39.155816618302026,0,0,PC 97973,10.302602416241486,S,0,Unknown
206,0,1,Capt. Edward Smith,male,39.87132857077755,0,0,PC 33958,139.7688109944038,S,0,Unknown
207,0,1,Major Fortescue,male,24.64844158534733,1,0,PC 99779,111.71935433580626,C,0,Unknown
208,1,3,Mrs. Bridget OBrien,female,27.826502137492653,0,0,PC 47538,14.9333307783071,C,0,Unknown
209,1,1,Mr. William Sloper,male,19.354381367233792,0,1,PC 15833,10.10913135075236,S,0,Unknown
210,0,1,Dr. Arthur Jackson,male,11.84766735006613,0,0,PC 33386,107.11420773834034,Q,1,B
211,1,3,Mrs. Leah Rosen,female,27.826502137492653,0,0,PC 81778,9.504480210322551,C,0,Unknown
212,0,3,Mrs. Anna Sage,female,22.23845932496337,0,0,PC 34832,30.76000234875937,C,0,Unknown
213,1,3,Mrs. Leah Rosen,female,10.729564973263995,0,1,PC 87857,34.580397706989665,S,0,Unknown
214,1,1,Mrs. Margaret Brown,female,19.970983778427783,1,0,PC 48930,4.765829842988682,C,0,Unknown
215,1,3,Mr. Mustafa Ozkan,male,29.843532548220768,0,0,PC 42407,23.541655563915683,S,0,Unknown
216,0,1,Dr. Arthur Jackson,male,29.343990111089028,1,0,PC 14073,3.2278104441065225,S,1,D
217,1,2,Miss. Kate Buss,female,23.402244258743472,8,0,PC 27667,9.471344281297789,C,1,C
218,0,3,Mrs. Bridget OBrien,female,27.826502137492653,0,0,PC 26035,10.707115509402382,S,0,Unknown
219,0,3,Mr. Olaf Dahl,male,22.09086493905092,0,0,PC 16732,2.1959328233744686,S,0,Unknown
220,0,3,Mrs. Anna Sage,female,27.826502137492653,0,1,PC 65097,18.79170443948812,C,1,E
221,1,3,Mr. Mustafa Ozkan,male,16.577964136673536,3,0,PC 13487,0.1149402644993036,C,0,Unknown
222,0,3,Mr. Ali Hassan,male,29.843532548220768,1,0,PC 67702,2.5296105745279744,S,1,C
223,0,1,Mr. William Sloper,male,32.49849164327052,0,0,PC 95107,73.02956502504308,C,0,Unknown
224,0,2,Mr. Henry Reg,male,29.31098243066132,1,0,PC 39075,25.939573632930813,S,0,Unknown
225,0,2,Mr. George Harris,male,25.598539624234085,0,0,PC 81031,51.43171518718512,S,0,Unknown
226,0,2,Mr. George Harris,male,43.91561376607781,4,0,PC 94217,25.30502358135996,C,0,Unknown
227,0,3,Miss. Dagmar Bryhl,female,22.374886662822533,3,0,PC 24781,15.262744483365834,S,0,Unknown
228,0,2,Mr. Henry Reg,male,15.622006519241134,0,1,PC 49865,10.379774863456287,S,0,Unknown
229,0,3,Mr. Johan Larsson,male,13.785548855192244,0,0,PC 18469,0.0176079401833815,S,0,Unknown
230,0,3,Miss. Dagmar Bryhl,female,44.19452229524046,0,0,PC 55167,1.7537967830177257,S,0,Unknown
231,1,3,Miss. Dagmar Bryhl,female,8.41193327314836,0,1,PC 91738,10.47721698251142,S,1,E
232,0,3,Mrs. Anna Sage,female,33.77006792112903,1,0,PC 29928,15.403318606408694,C,0,Unknown
233,1,3,Mrs. Bridget OBrien,female,27.826502137492653,0,0,PC 86521,7.402621208278658,C,0,Unknown
234,0,3,Mrs. Leah Rosen,female,27.826502137492653,0,0,PC 49599,17.97236342735267,S,0,Unknown
235,0,1,Dr. Arthur Jackson,male,54.09664751726642,0,0,PC 26775,61.97994624360803,C,0,Unknown
236,1,3,Mr. Johan Larsson,male,17.048914449476698,4,1,PC 76504,1.0558773369090113,S,0,Unknown
237,0,2,Mr. George Harris,male,35.51923115903932,0,0,PC 85918,4.413515998221128,S,0,Unknown
238,1,1,Mr. William Sloper,male,29.47832615100697,0,0,PC 80687,153.93591016310725,C,1,A
239,1,3,Mr. Patrick Murphy,male,57.24690183324469,0,0,PC 36804,17.68213716893744,S,1,A
240,1,1,Miss. Charlotte Cardeza,female,24.51323021588856,4,0,PC 42259,189.128579115904,S,0,Unknown
241,1,3,Mr. Ali Hassan,male,33.87727771673582,1,0,PC 96284,1.7133406841158163,S,0,Unknown
242,0,3,Mr. Johan Larsson,male,29.39315746722238,0,0,PC 95227,63.39914738518664,S,0,Unknown
243,0,3,Mr. Patrick Murphy,male,12.503340612411105,0,1,PC 53560,3.2191111991597614,C,1,D
244,1,2,Mrs. Esther Hart,female,29.930379863891222,0,2,PC 37256,0.2452910415218364,S,0,Unknown
245,1,1,Mr. William Sloper,male,20.99647445987748,0,0,PC 16125,228.22851785115293,S,0,Unknown
246,1,3,Mrs. Bridget OBrien,female,29.484305991480333,0,0,PC 14370,4.520954624768912,S,0,Unknown
247,0,2,Mr. Henry Reg,male,34.1735050294492,2,2,PC 14838,22.82545330633171,S,0,Unknown
248,0,3,Mr. Olaf Dahl,male,49.23920827281435,0,0,PC 67429,2.6634600629532343,S,0,Unknown
249,0,3,Mr. Ali Hassan,male,7.352844215161003,1,0,PC 13134,11.89221430906495,S,0,Unknown
250,1,3,Miss. Dagmar Bryhl,female,28.005774661563496,0,0,PC 53199,32.1096708675907,C,0,Unknown
251,0,2,Mr. Henry Reg,male,14.327536411004866,1,1,PC 87092,7.988729037252275,Q,1,D
252,0,2,Miss. Nora Keane,female,35.73382925620776,1,1,PC 43822,22.965253685874757,S,0,Unknown
253,0,3,Mr. Ali Hassan,male,67.73812376739556,0,0,PC 30113,2.8514661162065016,S,1,B
254,0,2,Mr. Henry Reg,male,23.86996678992952,0,0,PC 73594,20.291874626516112,S,0,Unknown
