PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
74,0,3,Mr. Ali Hassan,male,36.329614238580305,0,0,PC 79617,5.076263945743805,,S
75,0,3,Mr. Olaf Dahl,male,33.60590679424291,0,1,PC 49222,14.930997583344025,G48,C
76,0,3,Miss. Mary Kelly,female,,1,0,PC 67755,15.014775158474752,A108,Q
77,0,3,Mr. Patrick Murphy,male,19.76789664468341,0,0,PC 18933,4.619455348634441,D97,S
78,1,1,Dr. Arthur Jackson,male,20.94534639946029,0,0,PC 78207,51.77560135997379,,S
79,0,2,Mr. Charles Aldworth,male,12.510527630748001,1,1,PC 53739,4.450209169519718,,S
80,1,1,Mrs. Margaret Brown,female,28.424353633048042,0,2,PC 57738,19.840248434969094,G134,S
81,0,3,Miss. Dagmar Bryhl,female,30.86502753065428,0,0,PC 94544,0.31944050300693494,D109,S
82,1,3,Miss. Mary Kelly,female,25.61597423897435,0,0,PC 31883,31.106790268841632,,C
83,1,2,Mr. Charles Aldworth,male,12.404948857836477,0,0,PC 53401,4.897977004400392,C51,C
84,1,1,Capt. Edward Smith,male,62.377878311569646,0,0,PC 25380,21.686038484146696,,S
85,0,2,Mr. Henry Reg,male,18.807308888602787,0,0,PC 28212,6.788578545301608,,S
86,0,2,Mr. Charles Aldworth,male,42.3410602342249,1,0,PC 38174,2.8211464579929024,,S
87,0,3,Mr. Mustafa Ozkan,male,,3,0,PC 16861,13.968599380270149,,S
88,0,3,Mr. Patrick Murphy,male,23.06714590761287,0,0,PC 16094,1.0701905342242564,D81,S
89,0,3,Mr. Olaf Dahl,male,33.64325693229949,0,0,PC 61319,1.9742268055145122,,C
90,0,3,Mr. Johan Larsson,male,,0,0,PC 56728,14.178848523775718,B34,Q
91,1,1,Miss. Charlotte Cardeza,female,23.516294773425464,1,0,PC 34363,34.86011463742803,,S
92,0,3,Mr. Ali Hassan,male,34.15640132798435,0,0,PC 97846,16.86227259281224,B5,C
93,0,3,Mr. Ali Hassan,male,28.14465957331526,0,0,PC 49300,11.16748321819399,,S
94,1,3,Mrs. Leah Rosen,female,38.2419460427852,1,0,PC 64808,4.051675030689079,,C
95,0,3,Mr. Mustafa Ozkan,male,22.243837897945543,1,0,PC 15943,14.415009846069502,,S
96,1,3,Mrs. Bridget OBrien,female,,1,0,PC 90105,1.6934276459665654,,S
97,0,3,Mr. Johan Larsson,male,17.382835618158822,0,2,PC 52616,10.53195123231349,,Q
98,0,2,Mr. Thomas Byles,male,33.84327718129197,1,0,PC 84329,11.897092114091274,D108,S
99,1,1,Mrs. Margaret Brown,female,21.21175390314537,1,0,PC 35287,26.191374624480947,,C
100,1,1,Mrs. Eleanor Fortune,female,,0,0,PC 43971,77.81370982237353,A148,S
101,1,1,Mrs. Eleanor Fortune,female,,0,0,PC 66152,172.2447057403648,,S
102,0,3,Mr. Johan Larsson,male,19.548459187708733,0,0,PC 52351,93.38915667126027,,S
103,0,2,Mr. Henry Reg,male,16.721534009333507,3,0,PC 70040,19.372890717591133,,S
104,0,3,Mr. Johan Larsson,male,46.928552176774275,0,0,PC 98559,7.106185434039751,A100,S
105,0,3,Mr. Johan Larsson,male,40.039070140965855,0,0,PC 70616,3.4956853065288565,G59,S
106,1,2,Mrs. Ethel Beane,female,16.36468890427258,0,0,PC 33897,6.151803375528492,,S
107,0,2,Mr. Thomas Byles,male,15.16324263520455,1,0,PC 33010,13.51459317529117,G11,S
108,1,3,Miss. Dagmar Bryhl,female,22.447959222884144,0,0,PC 50154,6.2708141379236135,,S
109,0,1,Capt. Edward Smith,male,15.710696069167476,0,0,PC 30114,205.90530168042073,,S
110,0,1,Col. John Weir,male,,0,0,PC 29050,38.58401452639483,,Q
111,0,2,Mr. George Harris,male,11.098891675732258,1,1,PC 31125,9.677623979655866,,S
112,1,1,Lady Duff-Gordon,female,,0,0,PC 60396,40.63524689145286,,S
113,1,3,Miss. Mary Kelly,female,33.26486172350679,0,0,PC 54846,24.819985732132576,,S
114,1,3,Mrs. Bridget OBrien,female,36.03358402132102,1,2,PC 30396,14.413455038649056,D63,S
115,1,3,Mrs. Bridget OBrien,female,29.38726504875728,0,0,PC 98116,13.047269545531574,,S
116,0,3,Mrs. Bridget OBrien,female,,1,0,PC 48973,5.57152120363796,,S
117,0,3,Miss. Mary Kelly,female,39.58638745532648,0,0,PC 33574,23.334144544665925,,S
118,1,1,Capt. Edward Smith,male,,0,1,PC 23869,3.2860072662929327,,S
119,0,3,Mr. Johan Larsson,male,17.345150777212574,0,2,PC 76194,28.035293686649407,G46,C
120,0,3,Mr. Olaf Dahl,male,,0,0,PC 72167,9.849994968652101,,S
121,1,3,Miss. Mary Kelly,female,,1,0,PC 66147,6.958416218889567,,S
122,0,3,Mrs. Leah Rosen,female,44.592593916232445,0,0,PC 22122,9.4187189042042,,S
123,0,2,Rev. Robert Bateman,male,,1,0,PC 53827,22.787831138200595,,C
124,1,1,Mrs. Eleanor Fortune,female,21.611842690982826,0,0,PC 23335,1.0791987934242824,,S
125,1,1,Miss. Charlotte Cardeza,female,35.59896670255908,0,0,PC 73576,172.38732069721925,,S
126,0,2,Mr. Henry Reg,male,,0,0,PC 31677,12.252875801427392,,S
127,0,3,Mr. Olaf Dahl,male,41.9949837178977,4,1,PC 38223,5.754278143363597,,S
128,0,3,Mrs. Leah Rosen,female,7.035322111074461,0,0,PC 39814,2.0383535112706386,F36,S
129,0,1,Col. John Weir,male,27.04066654929929,0,0,PC 93611,48.624598010744414,G85,C
130,1,3,Mrs. Leah Rosen,female,,0,0,PC 53185,9.395729003360476,G90,S
131,1,2,Rev. Robert Bateman,male,51.20453081242789,0,1,PC 86794,10.70028525667309,,S
132,1,1,Mrs. Margaret Brown,female,,0,0,PC 85675,95.3614887416815,,S
133,1,1,Mrs. Margaret Brown,female,34.31817322024105,1,0,PC 52325,45.88702528780677,G58,S
134,1,2,Mrs. Esther Hart,female,30.57965454895384,0,0,PC 50503,67.37764076073312,F106,S
135,1,3,Mr. Olaf Dahl,male,48.823874817683475,1,0,PC 29514,12.528460332551099,B94,S
136,1,2,Mrs. Ethel Beane,female,58.81833184134433,0,2,PC 66196,34.10417139493449,,S
137,0,3,Mrs. Leah Rosen,female,28.520831253453352,0,0,PC 30917,1.5866021187626511,,S
138,0,3,Mr. Mustafa Ozkan,male,31.278102769585246,1,0,PC 64699,6.936601424359072,B141,S
139,1,2,Miss. Kate Buss,female,,0,0,PC 60119,8.502537501449634,,S
140,0,3,Mr. Olaf Dahl,male,15.872783381239646,3,0,PC 93324,11.545908526080872,,S
141,0,3,Mr. Ali Hassan,male,16.823776291942668,0,1,PC 35061,27.04514767742126,,S
142,0,2,Mr. Thomas Byles,male,20.398169655061604,2,0,PC 19947,1.6886429326641983,G121,S
143,0,3,Mr. Ali Hassan,male,39.24710035104602,0,0,PC 91080,1.0322009158617589,C84,S
144,0,2,Mr. George Harris,male,28.913786632193425,0,0,PC 95550,39.31427391025172,,S
145,1,2,Miss. Nora Keane,female,,0,0,PC 90331,4.954266809080428,A63,S
146,0,1,Capt. Edward Smith,male,47.52372300802013,0,2,PC 42632,92.81090502466633,G32,Q
147,1,3,Mrs. Bridget OBrien,female,,0,0,PC 29352,10.724431991349078,D82,S
148,0,3,Mr. Mustafa Ozkan,male,20.024633781141002,0,1,PC 33653,24.51100582946208,,S
149,0,1,Col. John Weir,male,26.081196805729554,0,1,PC 77115,11.225172758427483,,C
150,0,2,Mr. Charles Aldworth,male,58.69342948348561,0,0,PC 53755,2.8775615187904946,,C
151,1,3,Miss. Dagmar Bryhl,female,20.313908857914,1,0,PC 81988,11.14872532308222,A1,S
152,0,1,Major Fortescue,male,35.614675449808146,0,0,PC 47921,245.76787468378276,,C
153,1,1,Mr. William Sloper,male,,0,0,PC 69003,45.03572639267163,E32,S
154,1,3,Miss. Dagmar Bryhl,female,15.273918769153909,0,0,PC 90876,5.424157713959533,C4,S
155,0,3,Mr. Olaf Dahl,male,,0,0,PC 56668,12.784229708841574,E98,S
156,0,2,Mr. Charles Aldworth,male,24.356453772890248,0,0,PC 65175,55.179767252440854,,S
157,0,3,Mr. Johan Larsson,male,21.698359142981943,0,0,PC 57738,24.84580533035662,,S
158,0,3,Mrs. Bridget OBrien,female,,2,0,PC 63452,73.98058141648772,,S
159,0,1,Col. John Weir,male,29.016226353512693,1,0,PC 78323,1.9174807199467538,,Q
160,0,3,Miss. Dagmar Bryhl,female,52.5571399975578,0,0,PC 56149,1.6405802391048816,,C
161,0,2,Mr. Henry Reg,male,20.77862086500661,0,0,PC 25839,19.463066550867854,,C
162,1,3,Mrs. Anna Sage,female,15.95178556580445,0,1,PC 12155,23.536682304434212,,C
163,1,3,Miss. Mary Kelly,female,,0,0,PC 17019,4.600659090943733,,Q
164,1,3,Mrs. Anna Sage,female,,1,1,PC 64512,3.745570985874435,A4,S
165,0,1,Capt. Edward Smith,male,26.372963220532704,0,0,PC 71690,129.89335815104087,,S
166,0,3,Miss. Dagmar Bryhl,female,29.150552443708392,0,0,PC 96150,0.7950617019436027,,S
167,0,2,Mr. Henry Reg,male,,0,0,PC 36190,9.543859509196505,,C
168,0,1,Capt. Edward Smith,male,26.933062502117384,0,0,PC 20928,59.20602636998051,,S
169,0,1,Capt. Edward Smith,male,,1,0,PC 58425,69.02895786553304,,C
170,0,3,Miss. Mary Kelly,female,52.26154883366375,0,0,PC 84134,17.86777810373876,,S
171,1,3,Mrs. Leah Rosen,female,47.486407336703074,1,0,PC 96117,6.0042414916164315,,S
172,1,1,Miss. Bishop,female,46.428104440268896,5,0,PC 58974,79.67528281236955,,C
173,1,3,Mr. Ali Hassan,male,43.30096357307899,0,0,PC 57796,12.061230679320289,,S
174,1,1,Major Fortescue,male,37.38617920368504,1,2,PC 58743,66.630826482679,,S
175,1,3,Miss. Mary Kelly,female,,0,0,PC 89455,14.015026436718827,,S
176,0,1,Col. John Weir,male,,4,0,PC 80035,25.230324526130072,,S
177,0,3,Mr. Patrick Murphy,male,31.743063852792247,4,0,PC 47677,1.211729537609061,,S
178,0,2,Mr. Charles Aldworth,male,18.222417172988685,1,0,PC 66321,2.6290256160891383,,S
179,0,3,Mr. Ali Hassan,male,56.22472315610146,0,1,PC 68973,3.484643411286563,,S
180,0,1,Major Fortescue,male,23.97047541601936,1,0,PC 62414,58.25762291858408,D7,S
181,0,2,Rev. Robert Bateman,male,11.787946461487895,0,2,PC 35602,37.99179655151832,,C
182,0,1,Capt. Edward Smith,male,,1,0,PC 39692,101.49663420803586,,S
183,0,3,Mr. Ali Hassan,male,33.810893543000965,1,0,PC 58750,21.31842753371326,E125,S
184,1,3,Miss. Dagmar Bryhl,female,18.22411731238424,0,2,PC 31760,5.922304548600343,,C
185,0,2,Mr. Henry Reg,male,26.212798892632588,0,2,PC 78456,10.735270384979438,,S
186,0,3,Mr. Mustafa Ozkan,male,11.92014703428794,0,0,PC 34085,6.8548017134986186,,C
187,0,3,Miss. Mary Kelly,female,,0,1,PC 73964,2.9185970741130527,F120,S
188,0,3,Mr. Patrick Murphy,male,28.205389352165167,0,0,PC 32925,0.8654366616434489,,S
189,0,3,Mrs. Anna Sage,female,26.890502903148864,1,1,PC 15615,12.245539389967917,E75,S
190,1,1,Miss. Bishop,female,39.82518102078602,2,0,PC 47083,380.4994284328478,,Q
191,0,1,Major Fortescue,male,,2,0,PC 78319,15.331446637536427,B18,C
192,0,3,Mr. Patrick Murphy,male,,0,0,PC 19605,0.654992970419437,C48,S
193,0,3,Mrs. Bridget OBrien,female,36.0253269550642,1,0,PC 54608,20.714417483387056,,S
194,1,3,Mrs. Anna Sage,female,19.886070372402553,1,0,PC 29192,3.9885637404252923,,C
195,0,2,Mr. Henry Reg,male,18.16454845117973,0,0,PC 13331,36.63618006598123,,S
196,0,2,Mr. Charles Aldworth,male,56.42353572766913,0,0,PC 61330,25.19566501584859,,C
197,1,3,Mr. Olaf Dahl,male,24.279308898106386,0,0,PC 59949,39.904590383684706,,S
198,1,3,Mrs. Bridget OBrien,female,33.626394517314424,1,0,PC 78382,7.203681235925011,,S
199,0,3,Mr. Patrick Murphy,male,34.28458021242548,0,0,PC 47586,14.859296124671598,,S
200,1,3,Miss. Mary Kelly,female,13.488311694264635,1,0,PC 62243,8.565474697254809,,S
201,0,3,Miss. Mary Kelly,female,30.766528527053964,0,0,PC 68618,13.643071215264516,,S
202,0,1,Mr. William Sloper,male,30.048449898135488,1,1,PC 88311,50.15707239762973,,Q
203,0,1,Col. John Weir,male,,0,0,PC 17549,17.558845139659216,G18,S
204,0,3,Mr. Olaf Dahl,male,,0,0,PC 62494,9.714232698268859,,S
205,0,3,Mr. Johan Larsson,male,39.155816618302026,0,0,PC 97973,10.302602416241486,,S
206,0,1,Capt. Edward Smith,male,39.87132857077755,0,0,PC 33958,139.7688109944038,,S
207,0,1,Major Fortescue,male,24.648441585347335,1,0,PC 99779,111.71935433580626,,C
208,1,3,Mrs. Bridget OBrien,female,,0,0,PC 47538,14.933330778307099,,C
209,1,1,Mr. William Sloper,male,19.354381367233792,0,1,PC 15833,10.10913135075236,,S
210,0,1,Dr. Arthur Jackson,male,11.84766735006613,0,0,PC 33386,107.11420773834034,B109,Q
211,1,3,Mrs. Leah Rosen,female,,0,0,PC 81778,9.504480210322551,,C
212,0,3,Mrs. Anna Sage,female,22.23845932496337,0,0,PC 34832,30.760002348759375,,C
213,1,3,Mrs. Leah Rosen,female,10.729564973263995,0,1,PC 87857,34.580397706989665,,S
214,1,1,Mrs. Margaret Brown,female,19.970983778427783,1,0,PC 48930,4.765829842988682,,C
215,1,3,Mr. Mustafa Ozkan,male,,0,0,PC 42407,23.541655563915683,,S
216,0,1,Dr. Arthur Jackson,male,,1,0,PC 14073,3.2278104441065225,D148,S
217,1,2,Miss. Kate Buss,female,23.402244258743472,8,0,PC 27667,9.471344281297789,C14,C
218,0,3,Mrs. Bridget OBrien,female,,0,0,PC 26035,10.707115509402382,,S
219,0,3,Mr. Olaf Dahl,male,22.090864939050917,0,0,PC 16732,2.1959328233744686,,S
220,0,3,Mrs. Anna Sage,female,,0,1,PC 65097,18.791704439488118,E144,C
221,1,3,Mr. Mustafa Ozkan,male,16.577964136673536,3,0,PC 13487,0.11494026449930361,,C
222,0,3,Mr. Ali Hassan,male,,1,0,PC 67702,2.5296105745279744,C68,S
223,0,1,Mr. William Sloper,male,32.49849164327052,0,0,PC 95107,73.02956502504308,,C
224,0,2,Mr. Henry Reg,male,29.31098243066132,1,0,PC 39075,25.939573632930813,,S
225,0,2,Mr. George Harris,male,,0,0,PC 81031,51.43171518718512,,S
226,0,2,Mr. George Harris,male,43.91561376607781,4,0,PC 94217,25.305023581359958,,C
227,0,3,Miss. Dagmar Bryhl,female,22.374886662822533,3,0,PC 24781,15.262744483365834,,S
228,0,2,Mr. Henry Reg,male,15.622006519241134,0,1,PC 49865,10.379774863456289,,S
229,0,3,Mr. Johan Larsson,male,13.785548855192243,0,0,PC 18469,0.017607940183381594,,S
230,0,3,Miss. Dagmar Bryhl,female,44.19452229524046,0,0,PC 55167,1.7537967830177257,,S
231,1,3,Miss. Dagmar Bryhl,female,8.41193327314836,0,1,PC 91738,10.47721698251142,E88,S
232,0,3,Mrs. Anna Sage,female,33.77006792112903,1,0,PC 29928,15.403318606408694,,C
233,1,3,Mrs. Bridget OBrien,female,,0,0,PC 86521,7.402621208278658,,C
234,0,3,Mrs. Leah Rosen,female,,0,0,PC 49599,17.97236342735267,,S
235,0,1,Dr. Arthur Jackson,male,54.09664751726642,0,0,PC 26775,61.97994624360803,,C
236,1,3,Mr. Johan Larsson,male,17.048914449476698,4,1,PC 76504,1.0558773369090113,,S
237,0,2,Mr. George Harris,male,35.51923115903932,0,0,PC 85918,4.413515998221128,,S
238,1,1,Mr. William Sloper,male,29.47832615100697,0,0,PC 80687,153.93591016310725,A132,C
239,1,3,Mr. Patrick Murphy,male,57.24690183324469,0,0,PC 36804,17.68213716893744,A108,S
240,1,1,Miss. Charlotte Cardeza,female,24.513230215888562,4,0,PC 42259,189.12857911590396,,S
241,1,3,Mr. Ali Hassan,male,33.87727771673582,1,0,PC 96284,1.7133406841158165,,S
242,0,3,Mr. Johan Larsson,male,29.39315746722238,0,0,PC 95227,63.39914738518664,,S
243,0,3,Mr. Patrick Murphy,male,12.503340612411105,0,1,PC 53560,3.2191111991597614,D119,C
244,1,2,Mrs. Esther Hart,female,,0,2,PC 37256,0.24529104152183642,,S
245,1,1,Mr. William Sloper,male,20.99647445987748,0,0,PC 16125,500.7328785847894,,S
246,1,3,Mrs. Bridget OBrien,female,29.484305991480333,0,0,PC 14370,4.520954624768912,,S
247,0,2,Mr. Henry Reg,male,34.1735050294492,2,2,PC 14838,22.82545330633171,,S
248,0,3,Mr. Olaf Dahl,male,49.23920827281435,0,0,PC 67429,2.6634600629532343,,S
249,0,3,Mr. Ali Hassan,male,7.352844215161003,1,0,PC 13134,11.89221430906495,,S
250,1,3,Miss. Dagmar Bryhl,female,28.005774661563496,0,0,PC 53199,32.1096708675907,,C
251,0,2,Mr. Henry Reg,male,14.327536411004866,1,1,PC 87092,7.988729037252275,D133,Q
252,0,2,Miss. Nora Keane,female,35.733829256207756,1,1,PC 43822,22.965253685874753,,S
253,0,3,Mr. Ali Hassan,male,67.73812376739556,0,0,PC 30113,2.8514661162065016,B13,S
254,0,2,Mr. Henry Reg,male,23.869966789929517,0,0,PC 73594,20.291874626516112,,S
255,1,1,Miss. Bishop,female,18.963454972907147,0,0,PC 12669,34.4527344255354,,Q
256,0,3,Miss. Dagmar Bryhl,female,22.30744629656064,0,0,PC 59427,3.2503653541834012,G30,Q
257,0,3,Mrs. Leah Rosen,female,14.433422796975568,0,0,PC 91617,5.146898414035487,,S
258,0,3,Miss. Dagmar Bryhl,female,5.6266053605875115,0,1,PC 22938,2.6994288946392726,,C
259,1,3,Mrs. Bridget OBrien,female,31.50101389795871,8,0,PC 15717,31.81047009929821,C133,S
260,1,1,Miss. Bishop,female,27.411824508686,0,1,PC 87818,42.516436859387426,,S
261,1,3,Miss. Dagmar Bryhl,female,19.20894379411086,1,0,PC 57659,3.8552832780162194,,S
262,0,3,Mrs. Bridget OBrien,female,16.057616863525425,0,0,PC 74575,,,S
263,1,1,Miss. Bishop,female,40.330661542434584,1,0,PC 89737,32.46190688362401,,S
264,0,3,Mr. Johan Larsson,male,47.426364047080654,0,0,PC 26289,18.689771354971644,D69,S
265,0,3,Mrs. Leah Rosen,female,29.746282488215805,1,0,PC 34406,48.60857976741909,E1,S
266,0,3,Mr. Ali Hassan,male,8.732497152488857,0,2,PC 22873,7.895492459944534,,S
267,1,3,Mrs. Anna Sage,female,25.64706241491418,0,1,PC 92048,27.037246773444284,B48,S
268,0,3,Miss. Dagmar Bryhl,female,32.552179572564896,0,0,PC 33461,11.431215554246897,,S
269,0,2,Rev. Robert Bateman,male,24.316953987850162,0,0,PC 30710,3.541105847435877,,S
270,1,2,Mrs. Esther Hart,female,25.675005366692524,0,2,PC 95488,24.285112640411583,,S
271,0,3,Mr. Patrick Murphy,male,,0,0,PC 23448,9.869257311465907,B130,S
272,1,3,Mr. Johan Larsson,male,24.57635877217575,0,0,PC 25198,14.406324753153964,,S
273,1,3,Mrs. Bridget OBrien,female,42.04826526914827,1,0,PC 83158,30.20079017845597,,S
274,0,3,Mr. Patrick Murphy,male,30.556730538946148,0,2,PC 77938,7.9541489729011134,,S
275,0,3,Miss. Dagmar Bryhl,female,21.35349110194418,0,0,PC 60799,31.707707634786917,E134,S
276,0,3,Mrs. Leah Rosen,female,24.350378477527656,1,0,PC 44961,19.028943872448764,,S
277,0,3,Mr. Patrick Murphy,male,49.32380902373597,0,2,PC 53007,9.187396021909292,,C
278,0,3,Mr. Patrick Murphy,male,,0,0,PC 75470,12.663988060614734,,S
279,0,3,Mr. Patrick Murphy,male,19.98825752794912,0,0,PC 62256,5.396483375117449,,S
280,0,3,Mr. Patrick Murphy,male,25.6482565823803,3,0,PC 30739,56.31123751453888,,S
281,1,3,Miss. Mary Kelly,female,20.73351826998334,1,1,PC 94054,15.079150080930214,,S
282,0,2,Mr. Charles Aldworth,male,48.25809993988304,1,0,PC 68186,0.9281296803899495,,S
283,0,2,Mr. Thomas Byles,male,42.51417898840724,0,5,PC 36547,8.185779869048824,,S
284,1,1,Major Fortescue,male,25.37802977607908,1,0,PC 95823,82.01293643270428,,S
285,0,3,Mr. Ali Hassan,male,65.22235708462838,0,0,PC 61431,0.794356464540394,C12,Q
286,1,1,Miss. Charlotte Cardeza,female,31.626811239528422,0,5,PC 35476,2.030619626520074,G135,S
